conteiner,en,de,fr
ie18nAppName,"My Country in a bubble","Möchten Sie Ihr Land mit anderen ","Mon pays dans une bulle"
ie18nTitle,"Want to compare your country with other European countries and to see in one glance the differences among them?","Möchten Sie ihr Land mit anderen europäischen Ländern vergleichen und Unterschiede zwischen den Ländern auf einen Blick sehen?","Envie de comparer votre pays aux autres pays européens et voir les différences en un seul coup d'oeil?"
ie18nSubTitle,"Please have a look to our new infographic <br/>&#34;My country in a bubble&#34; !","Dann is unsere neue Infografik „Mein Land in einer Blase“ genau das Richtige für Sie!","Alors &#34;mon pays dans une bulle&#34; est l'application infographique à consulter!"
ie18nRuleBullet1,"Playful application to compare the EU Member States and EFTA countries for about <b>50 indicators</b>. When changing between indicators, the transparent country bubbles move to another position on the screen, depending on its value on the horizontal scale.","Spielerische Anwendung, um die EU Mitgliedstaaten sowie die EFTA-Länder in Bezug auf ca. <b>50 Indikatoren</b> miteinander zu vergleichen. Wenn Sie nacheinander mehrere Indikatoren anklicken, bewegen sich die transparenten Blasen der Länder auf dem Bildschirm, und zwar an die Position  die ihrem Wert auf der horizontalen Achse entspricht.  ","Une application ludique qui vous permet de comparer les chiffres des États membres de l’UE et des pays de l’AELE pour environ <b>50 indicateurs</b>. Lorsque vous passez d’un indicateur à l’autre, les bulles transparentes représentant les pays se déplacent sur l’écran, en fonction de leur valeur sur l’échelle horizontale."
ie18nRuleBullet2,"Please note that the bubbles appear <b>randomly</b> on the screen from bottom to top (there is no vertical axis as in a classical statistical graph). The horizontal top bar displays the scale for the selected indicator. ","Bitte beachten Sie, die <b>Anordnung der Blasen</b> von oben nach unten auf dem Bildschirm rein <b>zufällig</b> erfolgt, denn die vertikale Achse wird nicht verwendet. Die horizontale Achse zeigt die Skala für den ausgewählten Indikator. ","L’ordre dans lequel les bulles apparaissent de bas en haut sur l’écran est par contre <b>aléatoire</b>. (il n'y a pas d'axe vertical comme dans un graphique statistique classique). La barre supérieure horizontale indique l'échelle pour les indicateurs sélectionnés"
ie18nRuleBullet3,"The indicators are grouped into the following <b>themes</b>: Economy and finance; Population and social conditions; Industry, trade and services; Agriculture and fisheries; International trade; Transport; Environment and energy, and, Science and technology.","Die Indikatoren sind in die folgenden <b>Themenbereiche</b> eingeteilt: Wirtschaft und Finanzen; Bevölkerung und soziale Bedingungen; Industrie, Handel und Dienstleistungen; Landwirtschaft und Fischerei; Internationaler Handel; Verkehr; Umwelt und Energie sowie Wissenschaft und Technologie. ","Les indicateurs sont regroupés selon les <b>thèmes</b> suivants: Economie et finances; Population et conditions sociales; Industrie, commerce et services; Agriculture et pêche; Commerce international; Transports; Environnement et énergie; Science et technologie. "
ie18nRuleBullet4,"The <b>country name</b> and corresponding <b>value</b> of the selected indicator pop up when you mouse over the bubble. The <b>reference year</b> is displayed on top below the title.","Wenn Sie mit dem Positionsanzeiger der Maus über eine Blase fahren, werden Ihnen der <b>Ländername</b> sowie der jeweilige <b>Wert</b> für den ausgewählten Indikator angezeigt. Das <b>Referenzjahr</b> wird darüber, unterhalb des Titels, angezeigt. ","Le <b>nom du pays</b> et la <b>valeur</b> correspondante pour l’indicateur sélectionné s’affichent lorsque vous passez le curseur sur la bulle. <b>L’année de référence</b> est indiquée en haut sous le titre."
ie18nRuleBullet5,"Click on [ICON_INFO] to get an <b>explanation</b> of the indicator. If you want to have data from previous years click on “Link to dataset”.","Klicken Sie auf [ICON_INFO]  , um eine <b>Erklärung</b> des Indikators zu erhalten. Wenn Sie Daten für vorherige Jahre wünschen, klicken Sie einfach auf „Link zum Datensatz“.","Cliquez [ICON_INFO] sur  pour obtenir une <b>explication</b> sur l’indicateur. Si vous souhaitez consulter les données des années précédentes, cliquez sur le lien "" bases de données""."
ie18nRuleBullet6,"Click on [ICON_GEAR]  to <b>highlight a country</b>. When a country is selected, the transparent country bubble displays the flag of the country and thus, stands out from other country bubbles. This selection remains until the country is deselected or another country is highlighted.","Klicken Sie auf [ICON_GEAR] , um ein Land auszuwählen, welches Sie hervorheben möchten. Wenn Sie <b>ein Land ausgewählt haben</b>, wird in der transparenten Blase die jeweilige Flagge des Landes angezeigt. Somit hebt sich diese Blase nun deutlich von den anderen ab. Ihre Auswahl bleibt solange bestehen bis Sie diese aufheben oder ein anderes Land auswählen.   ","Cliquez sur [ICON_GEAR] pour <b>mettre en évidence un pays</b>. Lorsqu’un pays est sélectionné, la bulle transparente affiche le drapeau de ce pays, ce qui la fait ressortir parmi les autres bulles. Cette sélection est conservée jusqu’à ce que le pays soit désélectionné ou qu’un autre pays soit mis en évidence."
ie18nRuleBullet7,"Click on <b>Start</b> to open and explore the application. ","Klicken Sie auf LOS GEHT´S, um die Anwendung zu öffnen und Länder miteinander zu vergleichen. ","Cliquez sur le bouton <b>COMMENÇONS</b> pour lancer et explorer l’application."
ie18nRandom,"The order in which the country bubbles appear on the vertical axis is purely random.<br/>The scale differs according to the indicator chosen.","Die Reihenfolge, in der die Blase des Landes auf der vertikalen Achse erscheint, ist rein zufällig.","L’ordre dans lequel les bulles des pays apparaissent sur l’axe vertical est purement aléatoire."
ie18nRandomTitle,"The order in which the country bubbles appear on the vertical axis is purely random.","Die Reihenfolge, in der die Blase des Landes auf der vertikalen Achse erscheint, ist rein zufällig.","L’ordre dans lequel les bulles des pays apparaissent sur l’axe vertical est purement aléatoire."
ie18nLinkButton,"START","LOS GEHT´S","COMMENÇONS!"
ie18nLinkHighlight,"Highlight a country","Ein Land hervorheben","Mettre en évidence un pays"
ie18nLinkDataset,"Link to Dataset","Link zum Datensatz","Lien vers les bases de donnée"
ie18nLinkInfo,"Info","Info","Info"
ie18nTitleHighlightMS,"Highlight a Member State","Einen Mitgliedstaat hervorheben","Mettre en évidence un <br/>État membre"
ie18nTitleHighlightEC,"Highlight a EFTA country","Ein EFTA-Land hervorheben","Mettre en évidence un pays de l’AELE"
ie18nTitleTotal,"Total","Gesamt","Total"
ie18nTitleValue,"Value","Wert","Valeur"
ie18nTitleCountry,"Country","Land","Pays"
ie18nLinkShare,"Share this page","Teile diese Seite","Partager cette page"
ie18nLinkShareUrl,"Link to this page:","Link zu diesem Fenster:","Lien vers cette page:"
ie18nLinkShareEmbed,"To embed this page on another web page, just copy this code:","Um diese Seite auf einer anderen Webseite einzubetten, brauchst du nur diesen Code zu kopieren und einzufügen:","Pour intégrer cette page dans une autre page web, copier le code ci-dessous:"
ie18nLinkSource, Source: Eurostat - ,
ie18nLinkSourceDataset, access to dataset ,
ie18nTwitterText,Shedding light on energy in the EU: Share of energy products in total energy available #Eurostat #Energy,
