indId,themaId,displayEU,indCode,indShortName,indLongName,indUnit,indFilter,indURL,indPeriod,indDivider,indDescEn
0,0,1,"tec00021","Staatseinnahmen","Gesamteinnahmen des Staates","% des BIP","sector:S13","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tec00021&plugin=1","2014","","Dieser Indikator zeigt die Gesamteinnahmen des Staates, ausgedrückt als % des Bruttoinlandsprodukts (BIP). Dies bezieht sich auf das Gesamteinkommen eines Staates. <br>Der Sektor Staat umfasst den Bund (Zentralstaat), die Länder, die Gemeinden und die Sozialversicherung."
1,0,1,"tec00023","Staatsausgaben","Gesamtausgaben des Staates","% des BIP","sector:S13","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tec00023&plugin=1","2014","","Dieser Indikator zeigt die Gesamtausgaben des Staates, ausgedrückt als % des Bruttoinlandsprodukts (BIP). Dies bezieht sich auf den gesamten Geldbetrag, den ein Staat ausgibt. <br>Der Sektor Staat umfasst den Bund (Zentralstaat), die Länder, die Gemeinden und die Sozialversicherung."
2,0,1,"tec00114","BIP pro Kopf","BIP pro Kopf in Kaufkraftstandards (KKS)","Index: EU28 = 100",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tec00114&plugin=1 ","2014","","Dieser Indikator zeigt das Bruttoinlandsprodukt (BIP) pro Kopf in Kaufkraftstandards (KKS) in Relation zum Durchschnitt der Europäischen Union (EU28), welcher 100 entspricht. <br>Das BIP ist ein Maß für die wirtschaftliche Tätigkeit. Es ist definiert als der Wert aller produzierten Waren und Dienstleistungen abzüglich des Wertes aller bei ihrer Produktion eingesetzten Waren und Dienstleistungen. Ist der Indexwert eines Landes größer als 100, so hat dieses Land ein BIP pro Kopf über dem EU-Durchschnitt und umgekehrt. <br>Der KKS ist eine künstliche gemeinsame Währung, die die Preisniveauunterschiede zwischen Ländern eliminiert und damit aussagekräftige BIP Vergleiche zwischen den Ländern ermöglicht. Mit einem KKS kann in allen Ländern die gleiche Menge an Waren und Dienstleistungen gekauft werden. "
3,0,1,"tec00118","Inflationsrate","Inflationsrate","Veränderung gegenüber dem Vorjahr (in %)",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tec00118&plugin=1","2015","","Dieser Indikator zeigt die Inflationsrate, d.h. die durchschnittliche Preisveränderung (in %) von einem Jahr zum anderen. <br>Inflation ist ein Anstieg des allgemeinen Preisniveaus von Waren und Dienstleistungen. Wenn in einer Volkswirtschaft Inflation herrscht, nimmt der Wert des Geldes ab, weil mit einem bestimmten Betrag weniger Waren und Dienstleistungen gekauft werden können als vorher. <br>Für die Berechnung der Inflation in einer Volkswirtschaft wird häufig ein bestimmter Korb von Waren und Dienstleistungen untersucht, und es werden die Veränderungen der Preise dieses Waren- und Dienstleistungskorbs im zeitlichen Verlauf bestimmt. <br>Eine negative Inflationsrate zeigt eine Deflation, d.h. einen Rückgang des allgemeinen Preisniveaus von Waren und Dienstleistungen, wodurch der Geldwert ansteigt.

"
4,0,1,"tps00180","Beschäftigungswachstum","Beschäftigungswachstum","Veränderung der Gesamtbeschäftigung gegenüber dem Vorjahr (in %)","sex:T","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tps00180&plugin=1","2014","","Dieser Indikator zeigt die Veränderung (in %) der Gesamtzahl der Erwerbstätigen eines Landes von einem Jahr zum anderen. <br>Erwerbstätige sind Personen ab 15 Jahren, die in der Bezugswoche mindestens eine Stunde lang gegen Entgelt, zur Gewinnerzielung oder zur Mehrung des Familieneinkommens gearbeitet haben oder die in der Bezugswoche nicht gearbeitet haben, aber einen Arbeitsplatz oder ein Unternehmen hatten, von dem sie vorübergehend abwesend waren. <br>Zu den Erwerbstätigen zählen Arbeitnehmer und Selbständige."
5,0,1,"tsdde410","Staatsverschuldung","Öffentlicher Bruttoschuldenstand ","% des BIP","unit:PC_GDP","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tsdde410&plugin=1","2014","","Dieser Indikator zeigt den öffentlichen Bruttoschuldenstand, der auch als Staatsverschuldung bezeichnet wird, ausgedrückt als % des Bruttoinlandsprodukts (BIP). <br>Dies ist der Brutto-Gesamtschuldenstand zum Nominalwert (Nennwert) am Jahresende nach Konsolidierung zwischen den und innerhalb der Teilsektoren des Staates. Er umfasst die ausstehenden Bestände an Bargeld und Einlagen, Schuldverschreibungen und Krediten am Ende des Bezugszeitraums. <br>Der Sektor Staat umfasst den Bund (Zentralstaat), die Länder, die Gemeinden und die Sozialversicherung."
6,0,1,"tec00127","Staatsdefizit/-überschuss ","Öffentliches Defizit/Überschuss","% des BIP",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tec00127&plugin=1","2014","","Dieser Indikator zeigt das öffentliche Defizit bzw. den öffentlichen Überschuss, ausgedrückt als % des Bruttoinlandsprodukts (BIP). <br>Dabei handelt es sich um die Differenz zwischen den Einnahmen und den Ausgaben des Sektors Staat. Liegen die Ausgaben über den Einnahmen, so verzeichnet der Staat ein Defizit, sind die Einnahmen jedoch höher als die Ausgaben, verbucht er einen Überschuss. <br>Der Sektor Staat umfasst den Bund (Zentralstaat), die Länder, die Gemeinden und die Sozialversicherung. "
7,0,1,"nama_gdp_c","Investitionen","Bruttoanlageinvestitionen","% des BIP","unit:PC_GDP|indic_na:P51","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-055480_QID_B99A1CE_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BUNIT,L,Z,0%3BINDIC_NA,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-055480INDICATORS,OBS_FLAG%3BDS-055480UNIT,PC_GDP%3BDS-055480INDIC_NA,P51%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=INDIC-NA_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=NONE&time_most_recent=false&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2013","","Dieser Indikator zeigt die Investitionen (auch als „Bruttoanlageinvestitionen“ bezeichnet) als Anteil (in %) am Bruttoinlandsprodukt (BIP). <br>Bruttoanlageinvestitionen umfassen den Erwerb (z. B. Kauf) abzüglich der Veräußerungen (z. B. Verkauf) von Sachanlagen und immateriellen Anlagegütern durch gebietsansässige Produzenten. Zu den Sachanlagen zählen insbesondere Maschinen, Geräte, Fahrzeuge, Wohnbauten und sonstige Bauten, aber auch Nutztiere und Nutzpflanzungen wie Zuchttiere und Rebflächen. Zu den Bruttoanlageinvestitionen zählen auch immaterielle Anlagegüter wie Computersoftware und Urheberrechte."
8,0,1,"nama_10_co3_p3-1","Konsumausgaben der privaten Haushalte: Nahrungsmittel & alkoholfreie Getränke","Konsumausgaben der privaten Haushalte:  Nahrungsmittel & alkoholfreie Getränke","% der Gesamtausgaben privater Haushalte","coicop:CP01|unit:PC_TOT","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-423035_QID_2EF9B743_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BUNIT,L,Z,0%3BCOICOP,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-423035INDICATORS,OBS_FLAG%3BDS-423035COICOP,TOTAL%3BDS-423035UNIT,CP_MEUR%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=COICOP_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt die Ausgaben privater Haushalte für Nahrungsmittel und alkoholfreie Getränke, ausgedrückt als % der Gesamtausgaben der privaten Haushalte. <br>Dies bezieht sich auf alle Ausgaben, die eine allein lebende Person oder eine in einer gemeinsamen Unterkunft mit gemeinsamer Haushaltsführung lebende Gruppe von Personen zur unmittelbaren Befriedigung individueller Bedürfnisse tätigt. Berücksichtigt sind nur Käufe von Waren, die zu Hause verbraucht werden (nicht in Hotels, Gaststätten, Bars, Kiosken usw.). <br>Zu Nahrungsmitteln und alkoholfreien Getränken zählen Brot, Fleisch, Milchprodukte, Obst und Gemüse usw. sowie Kaffee, Tee, Wasser, Säfte usw."
9,0,1,"nama_10_co3_p3-2","Konsumausgaben der privaten Haushalte:  Bekleidung & Schuhe","Konsumausgaben der privaten Haushalte: Bekleidung & Schuhe","% der Gesamtausgaben privater Haushalte","coicop:CP03|unit:PC_TOT","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-423035_QID_20B7A07A_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BUNIT,L,Z,0%3BCOICOP,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-423035INDICATORS,OBS_FLAG%3BDS-423035COICOP,CP03%3BDS-423035UNIT,PC_TOT%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=COICOP_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&pprRK=FIRST&pprSO=PROTOCOL&ppcRK=FIRST&ppcSO=ASC&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&","2014","","Dieser Indikator zeigt die Ausgaben privater Haushalte für Bekleidung und Schuhe, ausgedrückt als % der Gesamtausgaben der privaten Haushalte. <br>Die Ausgaben privater Haushalte beziehen sich auf alle Ausgaben, die eine allein lebende Person oder eine in einer gemeinsamen Unterkunft mit gemeinsamer Haushaltsführung lebende Gruppe von Personen zur unmittelbaren Befriedigung individueller Bedürfnisse tätigt. <br>Bekleidung umfasst Bekleidung für Alltag, Sport und Arbeit, einschließlich z. B. Gürtel, Hüte, Bekleidungszubehör, chemische Reinigung und Reparatur. Zu Schuhen zählen alle Arten von Schuhen, einschließlich Sportschuhen, die auch für Alltag und Freizeit geeignet sind, sowie deren Reparatur."
