indId,themaId,displayEU,indCode,indShortName,indLongName,indUnit,indFilter,indURL,indPeriod,indDivider,indDescEn
0,0,1,"tec00021","Recettes publiques","Recettes totales des administrations publiques ","% du PIB","sector:S13","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tec00021&plugin=1","2014","","Cet indicateur présente les recettes totales des administrations publiques, exprimées en % du produit intérieur brut (PIB). Ces recettes correspondent aux revenus totaux perçus par les administrations publiques d’un État. <br>Les administrations publiques comprennent l’administration centrale, les administrations d’États fédérés, les administrations locales et les administrations de sécurité sociale."
1,0,1,"tec00023","Dépenses publiques","Dépenses totales des administrations publiques
 ","% du PIB","sector:S13","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tec00023&plugin=1","2014","","Cet indicateur présente les dépenses totales des administrations publiques, exprimées en % du produit intérieur brut (PIB). Ces dépenses correspondent aux montants totaux dépensés par les administrations publiques d’un État. <br>Les administrations publiques comprennent l’administration centrale, les administrations d’États fédérés, les administrations locales et les administrations de sécurité sociale."
2,0,1,"tec00114","PIB par habitant","PIB par habitant en standards de pouvoir d'achat (SPA)","Indice: UE28 = 100",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tec00114&plugin=1 ","2014","","Cet indicateur présente le produit intérieur brut (PIB) par habitant, exprimé en standards de pouvoir d’achat (SPA), par rapport à la moyenne de l’Union européenne (UE28) qui est fixée à 100. <br>Le PIB est une mesure de l’activité économique, il est défini comme la valeur de tous les biens et services produits moins la valeur des biens et services utilisés pour leur production. Si l’indice d’un pays est supérieur à 100, le niveau du PIB par habitant de ce pays est supérieur à la moyenne de l’Union européenne et inversement. <br>Le SPA est une monnaie commune qui élimine les différences de niveaux de prix entre les pays, permettant des comparaisons significatives du PIB entre les pays. Ainsi, un SPA permet d’acheter le même volume de biens ou de services dans tous les pays. "
3,0,1,"tec00118","Taux d'inflation","Taux d'inflation","variation en % par rapport à l’année précédente",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tec00118&plugin=1","2015","","Cet indicateur présente le taux d’inflation, c’est-à-dire la variation moyenne des prix (en %) d’une année sur l’autre. L’inflation désigne une augmentation du niveau général des prix des biens et des services. <br>Dans une économie, l’inflation se traduit par une dépréciation de la monnaie qui y a cours, dans la mesure où un même montant permet de se procurer moins de biens et de services qu’auparavant. L’inflation dans une économie est souvent calculée sur la base de la comparaison des variations de prix d’un panier défini de biens et de services au fil du temps. <br>Un taux d’inflation négatif indique une déflation, c’est-à-dire une baisse du niveau général des prix des biens et des services. La déflation se traduit par une appréciation de la monnaie.

"
4,0,1,"tps00180","Croissance de l'emploi","Croissance de l'emploi","variation en % de la totalité de la population occupant un emploi par rapport à l’année précédente","sex:T","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tps00180&plugin=1","2014","","Cet indicateur présente l’évolution (en %) d’une année sur l’autre du nombre total de personnes occupant un emploi dans un pays. <br>Les personnes occupant un emploi sont les personnes âgées de 15 ans et plus qui ont travaillé au moins une heure contre rémunération ou en vue d’un bénéfice ou d’un gain familial durant la semaine de référence ou qui n’ont pas travaillé pendant celle-ci, mais avaient un emploi ou une activité dont elles étaient temporairement absentes. Cet indicateur couvre les travailleurs salariés et indépendants."
5,0,1,"tsdde410","Dette publique","Dette brute des administrations publiques","% du PIB","unit:PC_GDP","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tsdde410&plugin=1","2014","","Cet indicateur présente la dette brute des administrations publiques, appelée également dette publique, exprimée en % du produit intérieur brut (PIB). <br>Il s’agit de la valeur nominale (faciale) de la dette brute totale en cours à la fin de l’année et consolidée entre les sous-secteurs des administrations et au sein de ceux-ci. Elle inclut l’encours des stocks de numéraire et des dépôts, les titres de créance et les prêts à la fin de la période de référence. <br>Les administrations publiques comprennent l’administration centrale, les administrations d’États fédérés, les administrations locales et les administrations de sécurité sociale."
6,0,1,"tec00127","Déficit/surplus public","Déficit/surplus associée du gouvernement","% du PIB",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tec00127&plugin=1","2014","","Cet indicateur présente le déficit/excédent des administrations publiques, exprimé en % du produit intérieur brut (PIB). <br>Il s’agit de la différence entre les recettes et les dépenses du secteur des administrations publiques. Si les dépenses sont plus élevées que les recettes, les administrations publiques enregistreront un déficit, tandis que si les recettes sont supérieures aux dépenses, elles enregistreront un excédent. <br>Les administrations publiques comprennent l’administration centrale, les administrations d’États fédérés, les administrations locales et les administrations de sécurité sociale. "
7,0,1,"nama_gdp_c","Investissement","Formation brute de capital fixe (investissements)","% du PIB","unit:PC_GDP|indic_na:P51","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-055480_QID_B99A1CE_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BUNIT,L,Z,0%3BINDIC_NA,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-055480INDICATORS,OBS_FLAG%3BDS-055480UNIT,PC_GDP%3BDS-055480INDIC_NA,P51%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=INDIC-NA_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=NONE&time_most_recent=false&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2013","","Cet indicateur présente les investissements (également appelés «formation brute de capital fixe»), exprimés en% du produit intérieur brut (PIB). <br>Les investissements correspondent aux acquisitions (achats) moins cessions (ventes) d’actifs fixes corporels ou incorporels réalisées par les producteurs résidents. Les actifs fixes corporels (ou immobilisations corporelles) englobent notamment les machines et équipements, les véhicules, les logements et autres bâtiments, mais aussi d’autres actifs détenus ou cultivés, comme les animaux d’élevage et les vignobles. L’indicateur couvre également les actifs incorporels (ou immobilisations incorporelles), tels que les logiciels et les œuvres récréatives, littéraires ou artistiques originales."
8,0,1,"nama_10_co3_p3-1","Dépenses de consommation des ménages:  produits alimentaires et boissons non alcoolisées","Dépense de consommation des ménages:  Alimentation & boissons non alcoolisées","% des dépenses totales des ménages","coicop:CP01|unit:PC_TOT","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-423035_QID_2EF9B743_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BUNIT,L,Z,0%3BCOICOP,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-423035INDICATORS,OBS_FLAG%3BDS-423035COICOP,TOTAL%3BDS-423035UNIT,CP_MEUR%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=COICOP_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Cet indicateur présente les dépenses des ménages consacrées à l’achat de produits alimentaires et de boissons non alcoolisées, exprimées en % des dépenses totales des ménages. <br>Il se réfère à toutes les dépenses effectuées par une personne vivant seule ou par un groupe de personnes vivant ensemble dans un logement partagé et ayant des dépenses communes pour la satisfaction directe de leurs besoins individuels. Il couvre les achats effectués pour une consommation à domicile uniquement (et non dans un hôtel, un restaurant, un bar, un kiosque, etc.). Les produits alimentaires et boissons non alcoolisées comprennent le pain, la viande, les produits laitiers, les fruits et légumes, ainsi que le café, le thé, l’eau, les jus, etc."
9,0,1,"nama_10_co3_p3-2","Dépense de consommation des ménages: articles d’habillement et articles chaussants","Dépenses de consommation des ménages: articles d’habillement et articles chaussants","% des dépenses totales des ménages","coicop:CP03|unit:PC_TOT","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-423035_QID_20B7A07A_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BUNIT,L,Z,0%3BCOICOP,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-423035INDICATORS,OBS_FLAG%3BDS-423035COICOP,CP03%3BDS-423035UNIT,PC_TOT%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=COICOP_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&pprRK=FIRST&pprSO=PROTOCOL&ppcRK=FIRST&ppcSO=ASC&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&","2014","","Cet indicateur présente les dépenses des ménages consacrées à l’achat d'articles d'habillement et d'articles chaussants, exprimées en % des dépenses totales des ménages. <br>Il se réfère à toutes les dépenses effectuées par une personne vivant seule ou par un groupe de personnes vivant ensemble dans un logement partagé et ayant des dépenses communes pour la satisfaction directe de leurs besoins individuels. Les articles d'habillement comprennent les vêtements pour la ville, le sport ou le travail, y compris, par exemple, les ceintures, chapeaux et accessoires pour la fabrication de vêtements, sont couverts également les services de nettoyage à sec et de réparation. Les articles chaussants englobent toutes les chaussures, y compris les chaussures de sport pouvant être portées tous les jours ou pour une activité de loisirs, sont inclus également les services de réparation."
